# threads  schedule  chunk_size  time  speedup
2	static	1	43.3457	1.89428
2	static	4	44.5238	1.84415
2	static	8	43.2975	1.89639
2	static	16	42.7125	1.92236
2	dynamic	1	43.5786	1.88415
2	dynamic	4	42.7076	1.92258
2	dynamic	8	42.4657	1.93353
2	dynamic	16	42.6681	1.92436
2	guided	1	42.5931	1.92775
2	guided	4	42.0309	1.95353
2	guided	8	41.835	1.96268
2	guided	16	42.1135	1.9497
2	auto	1	41.9169	1.95885
2	auto	4	41.9759	1.95609
2	auto	8	41.8672	1.96117
2	auto	16	41.6357	1.97208
4	static	1	22.4523	3.65703
4	static	4	22.1559	3.70595
4	static	8	22.4165	3.66287
4	static	16	22.4743	3.65345
4	dynamic	1	25.3262	3.24204
4	dynamic	4	24.1107	3.40549
4	dynamic	8	24.0922	3.4081
4	dynamic	16	23.684	3.46685
4	guided	1	23.6334	3.47427
4	guided	4	23.635	3.47404
4	guided	8	23.5766	3.48264
4	guided	16	23.488	3.49577
4	auto	1	23.7739	3.45374
4	auto	4	23.6577	3.4707
4	auto	8	23.7753	3.45354
4	auto	16	23.5943	3.48003
6	static	1	15.9003	5.16397
6	static	4	15.7379	5.21726
6	static	8	15.6596	5.24336
6	static	16	15.6281	5.2539
6	dynamic	1	17.5339	4.68286
6	dynamic	4	16.7344	4.90658
6	dynamic	8	16.5367	4.96523
6	dynamic	16	16.4402	4.99437
6	guided	1	16.3168	5.03216
6	guided	4	16.3561	5.02006
6	guided	8	16.3862	5.01084
6	guided	16	16.4617	4.98785
6	auto	1	16.2593	5.04995
6	auto	4	16.337	5.02594
6	auto	8	16.4979	4.97692
6	auto	16	16.3257	5.02942
8	static	1	11.9761	6.85605
8	static	4	11.8615	6.92228
8	static	8	11.8167	6.94852
8	static	16	11.7781	6.97131
8	dynamic	1	13.2655	6.18967
8	dynamic	4	12.4653	6.58696
8	dynamic	8	12.3541	6.64626
8	dynamic	16	12.2774	6.68782
8	guided	1	12.2411	6.70762
8	guided	4	12.2269	6.7154
8	guided	8	12.2681	6.69286
8	guided	16	12.1811	6.74066
8	auto	1	12.2112	6.72404
8	auto	4	12.2057	6.72706
8	auto	8	12.2585	6.69811
8	auto	16	12.2525	6.70138
10	static	1	9.75095	8.42059
10	static	4	9.61635	8.53845
10	static	8	9.61481	8.53982
10	static	16	9.59819	8.55461
10	dynamic	1	10.8962	7.53556
10	dynamic	4	10.3243	7.95295
10	dynamic	8	10.237	8.02082
10	dynamic	16	10.2361	8.02146
10	guided	1	10.1607	8.081
10	guided	4	10.1413	8.09645
10	guided	8	10.1634	8.07889
10	guided	16	10.2663	7.99787
10	auto	1	10.1212	8.11251
10	auto	4	11.0989	7.39789
10	auto	8	10.1359	8.10078
10	auto	16	10.2758	7.99052
12	static	1	8.28099	9.91533
12	static	4	8.15387	10.0699
12	static	8	8.07392	10.1696
12	static	16	8.09131	10.1478
12	dynamic	1	10.4544	7.85401
12	dynamic	4	8.47684	9.68625
12	dynamic	8	8.15696	10.0661
12	dynamic	16	8.38878	9.78793
12	guided	1	8.31554	9.87414
12	guided	4	8.32947	9.85762
12	guided	8	8.38148	9.79646
12	guided	16	8.45564	9.71053
12	auto	1	8.30974	9.88102
12	auto	4	8.30482	9.88688
12	auto	8	8.33184	9.85482
12	auto	16	8.41687	9.75526
14	static	1	7.12883	11.5179
14	static	4	7.05677	11.6355
14	static	8	7.0055	11.7206
14	static	16	7.12685	11.521
14	dynamic	1	7.82166	10.4976
14	dynamic	4	7.2773	11.2829
14	dynamic	8	7.18906	11.4213
14	dynamic	16	7.19019	11.4196
14	guided	1	7.11131	11.5462
14	guided	4	7.11913	11.5335
14	guided	8	7.17728	11.4401
14	guided	16	7.39759	11.0994
